,angle_deg,freq_THz,trans
1155,8.5263,285.0,0.1437
1008,8.5263,286.0,0.1425
1368,8.5263,287.0,0.139
424,8.5263,288.0,0.1334
938,8.5263,289.0,0.1258
1133,8.5263,290.0,0.1164
589,9.4737,220.0,0.6604
278,9.4737,221.0,0.6271
788,9.4737,222.0,0.5899
645,9.4737,223.0,0.5492
757,9.4737,224.0,0.5059
331,9.4737,225.0,0.4608
481,9.4737,226.0,0.415
735,9.4737,227.0,0.3697
1344,9.4737,228.0,0.3259
1224,9.4737,229.0,0.2847
1019,9.4737,230.0,0.2472
727,9.4737,231.0,0.2143
310,9.4737,232.0,0.1865
1118,9.4737,233.0,0.1644
917,9.4737,234.0,0.1481
1336,9.4737,235.0,0.1376
461,9.4737,236.0,0.1324
5,9.4737,237.0,0.132
741,9.4737,238.0,0.1356
328,9.4737,239.0,0.1423
129,9.4737,240.0,0.1511
1341,9.4737,241.0,0.1609
930,9.4737,242.0,0.1706
795,9.4737,243.0,0.1794
1186,9.4737,244.0,0.1863
394,9.4737,245.0,0.1907
92,9.4737,246.0,0.1922
721,9.4737,247.0,0.1904
1217,9.4737,248.0,0.1854
97,9.4737,249.0,0.1773
782,9.4737,250.0,0.1664
974,9.4737,251.0,0.1532
881,9.4737,252.0,0.1384
375,9.4737,253.0,0.1224
522,9.4737,254.0,0.1062
818,9.4737,255.0,0.0901
1085,9.4737,256.0,0.0749
110,9.4737,257.0,0.0611
369,9.4737,258.0,0.0489
573,9.4737,259.0,0.0388
1142,9.4737,260.0,0.0307
825,9.4737,261.0,0.0248
714,9.4737,262.0,0.0211
550,9.4737,263.0,0.0193
443,9.4737,264.0,0.0194
736,9.4737,265.0,0.021
950,9.4737,266.0,0.024
545,9.4737,267.0,0.0282
1253,9.4737,268.0,0.0333
238,9.4737,269.0,0.0393
9,9.4737,270.0,0.046
1267,9.4737,271.0,0.0534
684,9.4737,272.0,0.0613
767,9.4737,273.0,0.0697
250,9.4737,274.0,0.0786
153,9.4737,275.0,0.0877
164,9.4737,276.0,0.0971
292,9.4737,277.0,0.1066
236,9.4737,278.0,0.1159
324,9.4737,279.0,0.1247
255,9.4737,280.0,0.1328
905,9.4737,281.0,0.1399
426,9.4737,282.0,0.1457
1284,9.4737,283.0,0.1498
444,9.4737,284.0,0.1519
774,9.4737,285.0,0.152
1218,9.4737,286.0,0.1498
555,9.4737,287.0,0.1453
802,9.4737,288.0,0.1387
486,9.4737,289.0,0.13
849,9.4737,290.0,0.1197
42,10.4211,220.0,0.6454
1211,10.4211,221.0,0.6097
156,10.4211,222.0,0.5702
634,10.4211,223.0,0.5276
527,10.4211,224.0,0.4828
37,10.4211,225.0,0.4368
219,10.4211,226.0,0.3908
924,10.4211,227.0,0.346
134,10.4211,228.0,0.3036
1086,10.4211,229.0,0.2647
322,10.4211,230.0,0.2302
674,10.4211,231.0,0.2011
22,10.4211,232.0,0.1779
641,10.4211,233.0,0.1608
656,10.4211,234.0,0.15
576,10.4211,235.0,0.1451
1233,10.4211,236.0,0.1457
1381,10.4211,237.0,0.151
1079,10.4211,238.0,0.16
1357,10.4211,239.0,0.1717
658,10.4211,240.0,0.1848
