,angle_deg,freq_THz,trans
764,8.2759,244.2857,0.3285
766,8.2759,245.7143,0.3383
781,8.2759,247.1429,0.3389
779,8.2759,248.5714,0.3302
769,8.2759,250.0,0.3131
771,8.2759,251.4286,0.2888
773,8.2759,252.8571,0.2594
770,8.2759,254.2857,0.227
776,8.2759,255.7143,0.1939
796,8.2759,257.1429,0.1623
777,8.2759,258.5714,0.1339
775,8.2759,260.0,0.1104
780,8.2759,261.4286,0.0926
783,8.2759,262.8571,0.0809
797,8.2759,264.2857,0.0755
784,8.2759,265.7143,0.0758
786,8.2759,267.1429,0.0811
794,8.2759,268.5714,0.0903
793,8.2759,270.0,0.1023
805,8.2759,271.4286,0.1159
792,8.2759,272.8571,0.1299
790,8.2759,274.2857,0.1431
789,8.2759,275.7143,0.1545
788,8.2759,277.1429,0.1634
808,8.2759,278.5714,0.1691
791,8.2759,280.0,0.1711
795,8.2759,281.4286,0.1692
811,8.2759,282.8571,0.1636
815,8.2759,284.2857,0.1545
798,8.2759,285.7143,0.1424
800,8.2759,287.1429,0.1281
802,8.2759,288.5714,0.1125
807,8.2759,290.0,0.0968
832,8.9655,220.0,0.5046
810,8.9655,221.4286,0.447
804,8.9655,222.8571,0.3886
833,8.9655,224.2857,0.332
812,8.9655,225.7143,0.2802
819,8.9655,227.1429,0.2359
818,8.9655,228.5714,0.2015
822,8.9655,230.0,0.1788
820,8.9655,231.4286,0.1685
813,8.9655,232.8571,0.1707
838,8.9655,234.2857,0.1842
821,8.9655,235.7143,0.2074
816,8.9655,237.1429,0.2374
836,8.9655,238.5714,0.2713
824,8.9655,240.0,0.3057
825,8.9655,241.4286,0.3374
826,8.9655,242.8571,0.3635
828,8.9655,244.2857,0.3818
830,8.9655,245.7143,0.3907
829,8.9655,247.1429,0.3896
827,8.9655,248.5714,0.3786
831,8.9655,250.0,0.3589
850,8.9655,251.4286,0.3318
852,8.9655,252.8571,0.2996
834,8.9655,254.2857,0.2644
837,8.9655,255.7143,0.2287
842,8.9655,257.1429,0.1945
843,8.9655,258.5714,0.1637
861,8.9655,260.0,0.1379
844,8.9655,261.4286,0.118
862,8.9655,262.8571,0.1045
847,8.9655,264.2857,0.0974
865,8.9655,265.7143,0.0964
846,8.9655,267.1429,0.1006
849,8.9655,268.5714,0.1091
872,8.9655,270.0,0.1208
848,8.9655,271.4286,0.1344
853,8.9655,272.8571,0.1485
855,8.9655,274.2857,0.1621
856,8.9655,275.7143,0.1738
857,8.9655,277.1429,0.1827
859,8.9655,278.5714,0.1882
860,8.9655,280.0,0.1895
863,8.9655,281.4286,0.1866
868,8.9655,282.8571,0.1794
864,8.9655,284.2857,0.1683
867,8.9655,285.7143,0.1541
866,8.9655,287.1429,0.1377
871,8.9655,288.5714,0.1202
869,8.9655,290.0,0.1031
876,9.6552,220.0,0.483
870,9.6552,221.4286,0.4245
873,9.6552,222.8571,0.3666
890,9.6552,224.2857,0.3124
877,9.6552,225.7143,0.2647
889,9.6552,227.1429,0.2262
878,9.6552,228.5714,0.199
881,9.6552,230.0,0.1844
883,9.6552,231.4286,0.1828
882,9.6552,232.8571,0.1935
886,9.6552,234.2857,0.2152
887,9.6552,235.7143,0.2455
885,9.6552,237.1429,0.2815
904,9.6552,238.5714,0.3199
892,9.6552,240.0,0.3573
891,9.6552,241.4286,0.3904
893,9.6552,242.8571,0.4168
898,9.6552,244.2857,0.4341
896,9.6552,245.7143,0.4413
899,9.6552,247.1429,0.438
901,9.6552,248.5714,0.4245
911,9.6552,250.0,0.4021
912,9.6552,251.4286,0.3724
897,9.6552,252.8571,0.3377
906,9.6552,254.2857,0.3001
910,9.6552,255.7143,0.2622
900,9.6552,257.1429,0.2259
902,9.6552,258.5714,0.1933
905,9.6552,260.0,0.1656
915,9.6552,261.4286,0.144
903,9.6552,262.8571,0.1289
907,9.6552,264.2857,0.1204
920,9.6552,265.7143,0.1181
909,9.6552,267.1429,0.1214
932,9.6552,268.5714,0.1294
933,9.6552,270.0,0.1408
913,9.6552,271.4286,0.1543
919,9.6552,272.8571,0.1686
921,9.6552,274.2857,0.1824
922,9.6552,275.7143,0.1942
918,9.6552,277.1429,0.2031
923,9.6552,278.5714,0.208
925,9.6552,280.0,0.2085
944,9.6552,281.4286,0.2042
945,9.6552,282.8571,0.1953
929,9.6552,284.2857,0.1822
931,9.6552,285.7143,0.166
926,9.6552,287.1429,0.1477
936,9.6552,288.5714,0.1289
930,9.6552,290.0,0.1111
940,10.3448,220.0,0.4599
939,10.3448,221.4286,0.4017
935,10.3448,222.8571,0.3459
946,10.3448,224.2857,0.2956
941,10.3448,225.7143,0.2536
938,10.3448,227.1429,0.2222
948,10.3448,228.5714,0.2032
942,10.3448,230.0,0.1973
937,10.3448,231.4286,0.2045
947,10.3448,232.8571,0.2236
951,10.3448,234.2857,0.2528
957,10.3448,235.7143,0.2892
955,10.3448,237.1429,0.3298
959,10.3448,238.5714,0.3712
949,10.3448,240.0,0.4099
965,10.3448,241.4286,0.4431
950,10.3448,242.8571,0.4682
958,10.3448,244.2857,0.4835
953,10.3448,245.7143,0.4882
968,10.3448,247.1429,0.4821
966,10.3448,248.5714,0.4658
961,10.3448,250.0,0.4408
976,10.3448,251.4286,0.4088
975,10.3448,252.8571,0.372
977,10.3448,254.2857,0.3328
967,10.3448,255.7143,0.2934
978,10.3448,257.1429,0.2558
970,10.3448,258.5714,0.2219
982,10.3448,260.0,0.193
963,10.3448,261.4286,0.1702
972,10.3448,262.8571,0.1539
974,10.3448,264.2857,0.1442
969,10.3448,265.7143,0.141
979,10.3448,267.1429,0.1435
971,10.3448,268.5714,0.1509
983,10.3448,270.0,0.1619
980,10.3448,271.4286,0.1753
988,10.3448,272.8571,0.1896
989,10.3448,274.2857,0.2032
986,10.3448,275.7143,0.2148
993,10.3448,277.1429,0.2232
1001,10.3448,278.5714,0.2274
985,10.3448,280.0,0.2266
987,10.3448,281.4286,0.2208
984,10.3448,282.8571,0.2102
990,10.3448,284.2857,0.1954
999,10.3448,285.7143,0.1777
1008,10.3448,287.1429,0.1584
995,10.3448,288.5714,0.1394
1005,10.3448,290.0,0.1223
996,11.0345,220.0,0.4363
1014,11.0345,221.4286,0.3797
1017,11.0345,222.8571,0.3276
1007,11.0345,224.2857,0.2828
1000,11.0345,225.7143,0.2479
1004,11.0345,227.1429,0.2247
1002,11.0345,228.5714,0.2146
1015,11.0345,230.0,0.2178
1003,11.0345,231.4286,0.2337
1009,11.0345,232.8571,0.2607
1011,11.0345,234.2857,0.2963
1020,11.0345,235.7143,0.3376
1022,11.0345,237.1429,0.3812
1021,11.0345,238.5714,0.4238
1024,11.0345,240.0,0.4621
1016,11.0345,241.4286,0.4936
1012,11.0345,242.8571,0.516
1013,11.0345,244.2857,0.5281
1019,11.0345,245.7143,0.5293
1018,11.0345,247.1429,0.5199
1023,11.0345,248.5714,0.5007
1033,11.0345,250.0,0.4733
1025,11.0345,251.4286,0.4395
1032,11.0345,252.8571,0.4014
1037,11.0345,254.2857,0.3614
1034,11.0345,255.7143,0.3214
1028,11.0345,257.1429,0.2834
1036,11.0345,258.5714,0.249
1031,11.0345,260.0,0.2195
1044,11.0345,261.4286,0.196
1039,11.0345,262.8571,0.1789
1049,11.0345,264.2857,0.1684
1048,11.0345,265.7143,0.1643
1043,11.0345,267.1429,0.1661
1038,11.0345,268.5714,0.1729
